Questions,Answers,Tags,Source,processed_at,word_count_q,word_count_a
which medications in the drug class pi3k inhibitors are used in the treatment of breast cancer?,pi3k inhibitor indicated in combination with fulvestrant for treatment of men and postmenopausal women with hr her2 negative pik3ca-mutated advanced or metastatic breast cancer following progression on or after an endocrine-based regimen.,PI3K,https://www.medscape.com/answers/1947145-185463/which-medications-in-the-drug-class-pi3k-inhibitors-are-used-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,16,32
what are the histologic findings of tubular carcinoma breast cancer?,"tubular carcinoma of the breast is an uncommon histologic type, accounting for only 1-2 of all breast cancers. characteristic features of this type include a single layer of epithelial cells with low-grade nuclei and apical cytoplasmic snoutings arranged in well-formed tubules and glands. tubular components make up more than 90 of pure tubular carcinomas and at least 75 of mixed tubular carcinomas. this type of breast cancer has a low incidence of lymph node involvement and a very high overall survival rate. because of its favorable prognosis, patients are often treated with only breast-conserving surgery and local radiation therapy.",tubular carcinoma,https://www.medscape.com/answers/1947145-155325/what-are-the-histologic-findings-of-tubular-carcinoma-breast-cancer,2025-06-21 22:19:34.186201,10,99
PD 1 PD L1 inhibitors usage,"pd-l1 is expressed on the surface of activated t cells under normal conditions; binding pdl1 inhibits immune activation and reduces t-cell cytotoxic activity when bound. this negative feedback loop is essential for maintaining normal immune responses and limits t-cell activity to protect normal cells during chronic inflammation. tumor cells may circumvent t-cell mediated cytotoxicity by expressing pdl1 on the tumor itself or on tumor-infiltrating immune cells, resulting in the inhibition of immune-mediated killing of tumor cells. see link for full list of medications.",PD-1/PD-L1 PD-1 PD-L1,https://www.medscape.com/answers/1947145-185453/which-medications-in-the-drug-class-pd-1pd-l1-inhibitors-are-used-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,6,83
guidelines for sentinel lymph node biopsy,a 2016 update on slnb for patients with operable early-stage breast cancer by asco advises that slnb may be offered to the following patients 188 : women with multicentric tumors women with ductal carcinoma in situ who will be undergoing mastectomy women who previously underwent breast and or axillary surgery women who received preoperative neoadjuvant systemic therapy,sentinel lymph node biopsy. axillary lymph node dissection.,https://www.medscape.com/answers/1947145-155401/what-are-the-asco-guidelines-for-the-use-of-axillary-lymph-node-dissection-alnd-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,6,57
What is the treatment for breast cancer,"surgery and radiation therapy, along with adjuvant hormone or chemotherapy when indicated, are considered primary treatment. surgical therapy may consist of lumpectomy or total mastectomy. radiation therapy may follow surgery in an effort to eradicate residual disease while reducing recurrence rates. there are 2 general approaches for delivering radiation therapy: external-beam radiotherapy (ebrt), partial-breast irradiation (pbi).",treatment ,https://www.medscape.com/answers/1947145-155245/how-is-breast-cancer-treated,2025-06-21 22:19:34.186201,7,56
what are the potential complications of partial breast irradiation (pbi) in the treatment of breast cancer?,potential complications of pbi are catheter placement followed by removal secondary to any of the following: 1) inadequate skin spacing 2) infection 3) seroma 4) fibrosis 5) chronic pain 6) disease recurrence,partial breast irradiation,https://www.medscape.com/answers/1947145-155349/what-are-the-potential-complications-of-partial-breast-irradiation-pbi-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,16,32
Define Inflammatory breast cancer,"ibc is a clinical diagnosis that implies presentation with the cardinal signs of inflammation (calor warmth , rubor redness , tumor mass ) involving the breast, although the warmth may be subtle and the mass may not be appreciated as something discrete. indeed, even when a localized mass is apparent in ibc, the true extent of the disease (as shown by performing skin biopsies from the surrounding normal-appearing skin) is usually greater than is apparent on physical examination.",IBC,https://www.medscape.com/answers/1947145-155361/what-is-inflammatory-breast-cancer-ibc,2025-06-21 22:19:34.186201,4,78
Which Western lifestyle traits raise the risk of breast cancer,"the western lifestyle (ie, chronic excess energy intake from meat, fat, and carbohydrates and lack of exercise) strongly correlates with development of the following: obesity, particularly abdominal obesity chronic hyperinsulinemia",traits Western,https://www.medscape.com/answers/1947145-155267/which-western-lifestyle-factors-increase-the-risk-for-breast-cancer,2025-06-21 22:19:34.186201,10,30
which organizations issued guidelines on follow-up care for breast cancer survivors?,the national comprehensive cancer network (nccn) and the american cancer society american society of clinical oncology (acs asco) have issued guidelines on followup care for breast cancer survivors. the guidelines differ principally in the timing of care. see the table in the website below.,breast cancer survivors,https://www.medscape.com/answers/1947145-155413/which-organizations-issued-guidelines-on-follow-up-care-for-breast-cancer-survivors,2025-06-21 22:19:34.186201,11,44
What role does ageing play in the genesis of breast cancer,"increasing age and female sex are established risk factors for breast cancer. sporadic breast cancer is relatively uncommon among women younger than 40 years but increases significantly thereafter. the effect of age on risk is illustrated in the seer (surveillance, epidemiology and end results) data, where the incidence of invasive breast cancer for women younger than 50 years is 44. 0 per 100,000 as compared with 345 per 100,000 for women aged 50 years or older.",ageing genesis age,https://www.medscape.com/answers/1947145-155254/what-is-the-role-of-age-in-the-etiology-of-breast-cancer,2025-06-21 22:19:34.186201,11,76
guidelines for whole-breast radiation therapy,a positive margin is associated with a significant increase in ipsilateral breast tumor recurrence (ibtr); this increased risk is not nullified by the use of wbrt negative margins halve the risk of ibtr and a 2 mm margin minimizes the risk of ibtr compared with smaller negative margins. more widely clear margins do not significantly decrease ibtr compared with 2 mm margins. negative margins 2 mm alone are not an indication for mastectomy; clinical judgment should be used in determining the need for further surgery in patients with negative margins 2 mm.,whole breast radiation therapy,https://www.medscape.com/answers/1947145-155405/what-are-the-guidelines-for-breast-conserving-surgery-with-whole-breast-radiation-therapy-wbrt-in-ductal-carcinoma-in-situ-dcis-breast-cancer,2025-06-21 22:19:34.186201,5,92
use of biomarkers in treatment,a guideline from the american society of clinical oncology (asco) advises that the only biomarkers that can guide choices of specific treatment regimens in breast cancer are as follows: estrogen receptor (er) progesterone receptor (pr) human epidermal growth factor receptor 2 (her2),biomarkers,https://www.medscape.com/answers/1947145-155414/what-are-asco-guidelines-for-use-of-biomarkers-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,5,42
The outcome of mammary Paget disease is uncertain,"paget disease of the breast is associated with an underlying breast cancer in 75 of cases. breast-conserving surgery can achieve satisfactory results, but at the risk of local recurrence. poor prognostic factors include a palpable breast tumor, lymph node involvement, histologic type, and an age of less than 60 years. paget disease with a palpable mass usually has an invasive component and a lower 5-year survival rate (20-60 ). those that do not have an underlying palpable mass have a higher 5-year survival rate (75-100 ).",mammary Paget disease,https://www.medscape.com/answers/1947145-155287/what-is-the-prognosis-of-mammary-paget-disease,2025-06-21 22:19:34.186201,8,86
ACP guidelines for breast cancer screening,2019 review by the american college of physicians (acp) provides the following guidance statements regarding screening of asymptomatic women at average risk and in good health: women 40-49 years of age: discuss benefits and harms of screening mammography (potential harms outweigh the benefits in most cases). women 50-74 years of age: offer biennial mammography. discontinue screening in women 75 years of age and in those with a life expectancy of 10 years. do not use clinical breast examination to screen for breast cancer in women of any age.,ACP guidelines,https://www.medscape.com/answers/1947145-155303/what-are-the-acp-guidelines-for-breast-cancer-screening,2025-06-21 22:19:34.186201,6,88
role of ultrasonography,"ultrasonography has become a widely available and useful adjunct to mammography in the clinical setting. it is generally employed to assist the clinical examination of a suspicious lesion detected on mammography or physical examination. as a screening tool, ultrasonography is limited by a number of factors, most notably its failure to detect microcalcifications and its poor specificity (34 ).",ultrasonography role,https://www.medscape.com/answers/1947145-155308/what-is-the-role-of-ultrasonography-in-the-workup-of-breast-cancer,2025-06-21 22:19:34.186201,3,59
what is the role of obesity in the etiology of breast cancer?,"increased risk of postmenopausal breast cancer has been consistently associated with the following: adult weight gain of 20-25 kg above body weight at age 18. western dietary pattern (high energy content in the form of animal fats and refined carbohydrates) sedentary lifestyle regular, moderate consumption of alcohol (3-5 alcoholic beverages per week)",obesity etiology,https://www.medscape.com/answers/1947145-155266/what-is-the-role-of-obesity-in-the-etiology-of-breast-cancer,2025-06-21 22:19:34.186201,12,52
what are guidelines for hrt in women at high risk of breast cancer?,"there are currently no formal guidelines for the use of hrt in women at high risk for breast cancer (ie, women with a family history of breast cancer, a personal history of breast cancer, or benign breast disease).",cancer-prone HRT women,https://www.medscape.com/answers/1947145-155262/what-are-guidelines-for-hrt-in-women-at-high-risk-of-breast-cancer,2025-06-21 22:19:34.186201,13,38
breast exam findings of breast cancer,"the clinician should be alert to symptoms of metastatic spread, such as the following: bone pain symptoms of hypercalcemia breathing difficulties abdominal distention jaundice localizing neurologic signs altered cognitive function headache",breast exam findings,https://www.medscape.com/answers/1947145-155292/which-breast-exam-findings-suggest-breast-cancer,2025-06-21 22:19:34.186201,6,31
MRI indication for breast cancer diagnosis,"the principal indications for mri of the breast are screening for breast cancer in women at increased risk, staging of known cancer, and evaluation of response to neoadjuvant chemotherapy. breast mri is based on t1-weighted contrast-enhanced imaging, but multiparametric assessment, including t2-weighted, ultrafast, and diffusion-weighted imaging, may be used to improve the characterization of lesions",MRI indication,https://www.medscape.com/answers/1947145-155310/when-is-mri-indicated-for-the-diagnosis-of-breast-cancer,2025-06-21 22:19:34.186201,6,55
use of raloxifene in risk reduction,"asco guidelines recommend that raloxifene should be discussed as an option to reduce the risk of invasive bc, specifically estrogen receptor negativepositive bc, in postmenopausal women who are age 35 years with a 5-year projected absolute bc risk 1. 66 or with lobular carcinoma in situ. raloxifene is given in a dosage of 60 mg day orally for 5 years; it can be used for longer than 5 years in women with osteoporosis, in whom bc risk reduction is a secondary benefit. asco guidelines advise that raloxifene not be used in the following cases: for bc risk reduction in premenopausal women in women with a history of deep vein thrombosis, pulmonary embolus, stroke, or transient ischemic attack or during prolonged immobilization",raloxifene,https://www.medscape.com/answers/1947145-155396/what-are-the-asco-recommendations-for-use-of-raloxifene-in-breast-cancer-risk-reduction,2025-06-21 22:19:34.186201,6,121
what are european commission initiative on breast cancer (ecibc) screening guidelines?,the european commission initiative on breast cancer (ecibc) screening guidelines include the following recommendations for women age 40-74 years who are at average risk of breast cancer 185 : age 40-44: no screening age 45-49: screening every 2 or 3 years age 50-69: screening every 2 years age 70-74: screening every 3 years,breast cancer screening guidelines,https://www.medscape.com/answers/1947145-155384/what-are-european-commission-initiative-on-breast-cancer-ecibc-screening-guidelines,2025-06-21 22:19:34.186201,11,53
contraindications for scintimammography in breast cancer workup,"scintimammography is not indicated as a screening procedure for the detection of breast cancer. however, it may play a role in various specific clinical indications, as in cases of nondiagnostic or difficult mammography and in the evaluation of high-risk patients, tumor response to chemotherapy, and metastatic involvement of axillary lymph nodes.",contraindications scintimammography,https://www.medscape.com/answers/1947145-155313/what-are-contraindications-for-scintimammography-in-the-workup-of-breast-cancer,2025-06-21 22:19:34.186201,7,51
guidelines for adjuvant endocrine therapy in postmenopausal women,"women with stage ii or stage iii breast cancers who would ordinarily be advised to receive adjuvant chemotherapy should receive ovarian suppression in addition to endocrine therapy women with stage i or ii breast cancers at higher risk of recurrence, who might consider chemotherapy, may also be offered ovarian suppression in addition to endocrine therapy women with stage i breast cancers not warranting chemotherapy should receive endocrine therapy but not receive ovarian suppression women with node-negative cancers 1 cm or less (t1a, t1b) should receive endocrine therapy but not receive ovarian suppression ovarian suppression may be administered with either tamoxifen or an aromatase inhibitor",adjuvant endocrine therapy,https://www.medscape.com/answers/1947145-155411/what-are-the-asco-guidelines-for-adjuvant-endocrine-therapy-in-the-treatment-of-postmenopausal-women-with-breast-cancer,2025-06-21 22:19:34.186201,8,104
what were the asco cap guidelines for hormone receptor testing in patients with breast cancer?,"er testing of invasive breast cancers by validated immunohistochemistry remains the standard for predicting which patients may benefit from endocrine therapy; no other assays are recommended for this purpose. breast cancer samples with 1 to 100 of tumor nuclei positive should be interpreted as er positive. however, data on the benefit of endocrine therapy for cancers with 1-10 of cells staining er positive are limited. samples with these results should be reported using a new reporting category, er low positive, with a recommended comment. a sample is considered er negative if 1 or 0 of tumor cell nuclei are immunoreactive.",hormone receptor testing,https://www.medscape.com/answers/1947145-197610/what-were-the-ascocap-guidelines-for-hormone-receptor-testing-in-patients-with-breast-cancer,2025-06-21 22:19:34.186201,15,100
do adjuvent therapy heal breast cancer,"adjuvant treatment for breast cancer involves radiation therapy and a variety of chemotherapeutic and biologic agents. it is designed to treat micrometastatic disease (or breast cancer cells that have escaped the breast and regional lymph nodes but which have not yet had an established identifiable metastasis). treatment is aimed at reducing the risk of future recurrence, thereby reducing breast cancer related morbidity and mortality. in patients receiving adjuvant aromatase inhibitor therapy for breast cancer who are at high risk for fracture, the monoclonal antibody denosumab or either of the bisphosphonates zoledronic acid and pamidronate may be added to the treatment regimen to increase bone mass. these agents are given along with calcium and vitamin d supplementation.",adjuvent therapy,https://www.medscape.com/answers/1947145-155415/what-is-the-role-of-adjuvant-therapies-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,6,116
what are the nccn guidelines for axillary lymph node dissection (alnd) in breast cancer?,the nccn breast cancer guidelines state that lymph node dissection is optional in the following cases: 1) strongly favorable tumors 2) when no result would affect the choice of adjuvant systemic therapy 3) elderly patients 4) patients with comorbid conditions,guidelines axillary lymph node dissection,https://www.medscape.com/answers/1947145-155338/what-are-the-nccn-guidelines-for-axillary-lymph-node-dissection-alnd-in-breast-cancer,2025-06-21 22:19:34.186201,14,40
how is radiation-induced heart disease monitored in patients with breast cancer?,"according to a consensus statement from the european association of cardiovascular imaging and the american society of echocardiography, patients treated with radiotherapy to the chest for hodgkin's disease, or breast, lung, or esophageal cancer, should have an echocardiogram every 5 to 10 years to detect radiation-induced heart disease (rihd). the relative risk of rihd is 2- to 5. 9 times higher in patients treated with radiation for breast cancer.",heart disease,https://www.medscape.com/answers/1947145-155380/how-is-radiation-induced-heart-disease-monitored-in-patients-with-breast-cancer,2025-06-21 22:19:34.186201,11,69
what is the role of tamoxifen in the treatment of ductal carcinoma in situ breast cancer?,tamoxifen is the only hormonal therapy currently approved for adjuvant therapy in patients treated with breast-conserving surgery and radiation for ductal carcinoma in situ. a retrospective study found that patients with estrogen receptor negativepositive ductal carcinoma in situ who were treated with tamoxifen showed significant decreases in subsequent breast cancer at 10 years. adjuvant tamoxifen also reduces the risk of contralateral breast cancer.,tamoxifen role DCIS treatment,https://www.medscape.com/answers/1947145-155357/what-is-the-role-of-tamoxifen-in-the-treatment-of-dcis-breast-cancer,2025-06-21 22:19:34.186201,16,63
Which age groups are most likely to develop breast cancer,"the incidence rate of breast cancer increases with age, from 1. 5 cases per 100,000 in women 20-24 years of age to a peak of 421. 3 cases per 100,000 in women 75-79 years of age; 95 of new cases occur in women aged 40 years or older. the median age of women at the time of breast cancer diagnosis is 62 years.",age incidence ,https://www.medscape.com/answers/1947145-155273/which-age-groups-have-the-highest-prevalence-of-breast-cancer,2025-06-21 22:19:34.186201,10,63
What role does a biopsy play in the treatment of breast cancer,core biopsy with image guidance is the recommended diagnostic approach for newly diagnosed breast cancers. this is a method for obtaining breast tissue without surgery and can eliminate the need for additional surgeries. open excisional biopsy is the surgical removal of the entire lump.,biopsy diagnosis,https://www.medscape.com/answers/1947145-155244/what-is-the-role-of-biopsy-in-the-workup-of-breast-cancer,2025-06-21 22:19:34.186201,12,44
differential diagnosis conditions of breast cancer,"the differential diagnosis includes the following: circumscribed breast lesions benign breast disease (eg, fibroadenomas and cysts), breast cancer, breast lymphoma, and metastasis to the breast from other primary sites (eg, neuroendocrine or extramedullary acute myeloid leukemia) skin thickening inflammatory carcinoma and mastitis stellate lesions breast cancer, traumatic fat necrosis, a radial scar, and a hyalinized fibroadenoma dilated ducts with or without nipple discharge papilloma, ductal carcinoma, duct ectasia, and fibrocystic disease",differential diagnosis,https://www.medscape.com/answers/1947145-155295/which-conditions-should-be-included-in-the-differential-diagnosis-of-breast-cancer,2025-06-21 22:19:34.186201,6,71
ACS guidelines for breast self-exam,acs recommendations for bse are as follows : 1) women should begin regular screening mammography at age 45 years (strong recommendation) 2) women aged 45-54 years should be screened annually (qualified recommendation) 3) women 55 years and older should transition to biennial screening or have the opportunity to continue screening annually (qualified recommendation) 4) women should have the opportunity to begin annual screening at 40-44 years of age (qualified recommendation) 5) women should continue screening mammography as long as their overall health is good and they have a life expectancy of 10 years or longer (qualified recommendation),breast ACS,https://www.medscape.com/answers/1947145-155383/what-are-the-acs-guidelines-for-breast-self-exam-bse,2025-06-21 22:19:34.186201,5,97
histologic characteristics of DCIS breast cancer,"increased use of screening mammography has resulted in a dramatic increase in the detection of ductal carcinoma in situ (ductal carcinoma in situ). approximately 64,000 cases of ductal carcinoma in situ are diagnosed annually in the united states. about 90 of ductal carcinoma in situ cases are identified on mammography as suspicious calcifications: linear, clustered, segmental, focal, or mixed distribution. ductal carcinoma in situ is broadly divided into 2 subtypes: comedo (ie, cribriform, micropapillary, and solid; and noncomedo. the likelihood of progression or local recurrence, as well as the prognosis, varies in accordance with the ductal carcinoma in situ subtype present.",DCIS breast cancer,https://www.medscape.com/answers/1947145-155319/what-are-the-histologic-characteristics-of-dcis-breast-cancer,2025-06-21 22:19:34.186201,6,101
what systemic treatments are available for metastatic breast cancer,"although treatments for metastatic breast cancer continue to improve, there remains no cure once distant metastases develop. furthermore, although occasional patients with metastatic breast cancer benefit from surgical resection for an isolated recurrence and many require radiation therapy for palliation at a specific site (or definitive treatment of brain metastasis), in general, recurrent or metastatic breast cancer must be approached systemically so that the therapeutic effect reaches all sites of disease. there are two main interventions: hormone therapy and chemotherapy.",metastatic systemic,https://www.medscape.com/answers/1947145-155364/what-are-the-systemic-treatments-for-metastatic-breast-cancer,2025-06-21 22:19:34.186201,9,80
What are the treatment options for breast cancer,"surgery and radiation therapy, along with adjuvant hormone or chemotherapy when indicated, are considered primary treatment. surgical therapy may consist of lumpectomy or total mastectomy. radiation therapy may follow surgery in an effort to eradicate residual disease while reducing recurrence rates. there are 2 general approaches for delivering radiation therapy: external-beam radiotherapy (ebrt), partial-breast irradiation (pbi).",treatment ,https://www.medscape.com/answers/1947145-155245/how-is-breast-cancer-treated,2025-06-21 22:19:34.186201,8,56
what are the nccn guidelines for sentinel lymph node (sln) biopsy in breast cancer?,"national comprehensive cancer network (nccn) recommendations differ from those of asco in that the nccn considers that women with clinical stage as high as iiia t3, n1, m0 may be candidates for sln biopsy. in addition, the nccn concluded that there is insufficient evidence to make recommendations for or against sln biopsy in pregnant patients; the nccn recommends that decisions regarding use of sln biopsy in pregnancy be individualized. however, isosulfan blue or methylene blue dye is contraindicated for slnb in pregnancy; radiolabeled sulfur colloid appears to be safe.",guidelines sentinel lymph,https://www.medscape.com/answers/1947145-155337/what-are-the-nccn-guidelines-for-sentinel-lymph-node-sln-biopsy-in-breast-cancer,2025-06-21 22:19:34.186201,14,89
What standards apply to HRT for breast cancer-prone women,"there are currently no formal guidelines for the use of hrt in women at high risk for breast cancer (ie, women with a family history of breast cancer, a personal history of breast cancer, or benign breast disease).",cancer-prone HRT women,https://www.medscape.com/answers/1947145-155262/what-are-guidelines-for-hrt-in-women-at-high-risk-of-breast-cancer,2025-06-21 22:19:34.186201,9,38
what are the asco guidelines for axillary lymph node dissection (alnd) in breast cancer?,"asco recommendations regarding alnd in patients who have undergone sentinel lymph node biopsy are as follows: 1) alnd should not be performed in women with no sentinel lymph node (sln) metastases 2) in most cases, alnd should not be performed in women with one to two metastatic slns who are planning to undergo breast-conserving surgery with whole-breast radiotherapy 3) alnd should be offered to women with sln metastases who will be undergoing mastectomy",axillary lymph node dissection,https://www.medscape.com/answers/1947145-155336/what-are-the-asco-guidelines-for-axillary-lymph-node-dissection-alnd-in-breast-cancer,2025-06-21 22:19:34.186201,14,73
what is the prognosis of cystic papillary carcinoma breast cancer?,"overall, patients with mucinous carcinoma have an excellent prognosis, with better than 80 10-year survival. similarly, tubular carcinoma has a low incidence of lymph node involvement and a very high overall survival rate. because of the favorable prognosis, these patients are often treated with only breast-conserving surgery and local radiation therapy.",cystic papillary carcinoma,https://www.medscape.com/answers/1947145-155285/what-is-the-prognosis-of-cystic-papillary-carcinoma-breast-cancer,2025-06-21 22:19:34.186201,10,51
what are the histologic findings of infiltrating lobular carcinoma breast cancer?,"infiltrating lobular carcinoma has a much lower incidence than infiltrating ductal carcinoma, accounting for 15-20 of invasive breast cancers. histologically, it is characterized by the ""single-file"" arrangement of small tumor cells. like ductal carcinoma, infiltrating lobular carcinoma typically metastasizes to axillary lymph nodes first. however, it also has a tendency to be multifocal and have discontinuous areas of involvement, making mammographic and even mri staging imprecise.",infiltrating lobular,https://www.medscape.com/answers/1947145-155322/what-are-the-histologic-findings-of-infiltrating-lobular-carcinoma-breast-cancer,2025-06-21 22:19:34.186201,11,66
What are the chances of surviving breast cancer with infiltrating ductal carcinoma,"infiltrating ductal carcinoma is the most commonly diagnosed breast tumor and has a tendency to metastasize via lymphatic vessels. like ductal carcinoma, infiltrating lobular carcinoma typically metastasizes to axillary lymph nodes first. however, it also has a tendency to be more multifocal. nevertheless, its prognosis is comparable to that of ductal carcinoma.",infiltrating ductal carcinoma,https://www.medscape.com/answers/1947145-155282/what-is-the-prognosis-of-infiltrating-ductal-carcinoma-breast-cancer,2025-06-21 22:19:34.186201,12,52
When to use CDK inhibitors,"palbociclib and ribociclib are cyclin-dependent kinases (cdk) 4, 6 inhibitors indicated in combination with an aromatase inhibitor as initial endocrine-based therapy for postmenopausal women with hormone receptor (hr)-positive, human epidermal growth factor receptor 2 (her2)-negative advanced or metastatic breast cancer. see link for full list of medications.",CDK inhibitors,https://www.medscape.com/answers/1947145-155962/which-medications-in-the-drug-class-cdk-inhibitors-are-used-in-the-treatment-of-breast-cancer,2025-06-21 22:19:34.186201,5,47
what is the role of wbrt in the treatment of ductal carcinoma in situ breast cancer?,"in ductal carcinoma in situ, wbrt is delivered over 5-6 weeks after surgery, reducing the local recurrence rate by approximately 60. roughly 50 of local recurrences are invasive breast cancer. meta-analyses of randomized controlled trials have demonstrated slightly higher rates of contralateral breast cancer with radiation therapy than with observation (3. 85 vs 2. 5 ) after surgery for ductal carcinoma in situ. studies comparing accelerated pbi given over 5 days to standard wbrt are currently under way.",WBRT DCIS treatment,https://www.medscape.com/answers/1947145-155356/what-is-the-role-of-wbrt-in-the-treatment-of-dcis-breast-cancer,2025-06-21 22:19:34.186201,16,78
